"Date","Debit"
"2021-01-01T12:00:00Z","1.855"
"2021-01-02T12:00:00Z","2.049"
"2021-01-03T12:00:00Z","2.092"
"2021-01-04T12:00:00Z","1.683"
"2021-01-05T12:00:00Z","1.846"
"2021-01-06T12:00:00Z","1.600"
"2021-01-07T12:00:00Z","1.449"
"2021-01-08T12:00:00Z","2.094"
"2021-01-09T12:00:00Z","2.153"
"2021-01-10T12:00:00Z","1.447"
"2021-01-11T12:00:00Z","1.792"
"2021-01-12T12:00:00Z","2.015"
"2021-01-13T12:00:00Z","2.069"
"2021-01-14T12:00:00Z","2.572"
"2021-01-15T12:00:00Z","1.934"
"2021-01-16T12:00:00Z","2.078"
"2021-01-17T12:00:00Z","2.313"
"2021-01-18T12:00:00Z","2.093"
"2021-01-19T12:00:00Z","2.085"
"2021-01-20T12:00:00Z","2.095"
"2021-01-21T12:00:00Z","2.330"
"2021-01-22T12:00:00Z","2.259"
"2021-01-23T12:00:00Z","2.504"
"2021-01-24T12:00:00Z","2.454"
"2021-01-25T12:00:00Z","1.666"
"2021-01-26T12:00:00Z","1.988"
"2021-01-27T12:00:00Z","2.332"
"2021-01-28T12:00:00Z","2.733"
"2021-01-29T12:00:00Z","2.356"
"2021-01-30T12:00:00Z","2.644"
"2021-01-31T12:00:00Z","2.731"
"2021-02-01T12:00:00Z","2.747"
"2021-02-02T12:00:00Z","2.506"
"2021-02-03T12:00:00Z","2.387"
"2021-02-04T12:00:00Z","2.377"
"2021-02-05T12:00:00Z","3.478"
"2021-02-06T12:00:00Z","2.880"
"2021-02-07T12:00:00Z","3.257"
"2021-02-08T12:00:00Z","2.619"
"2021-02-09T12:00:00Z","3.170"
"2021-02-10T12:00:00Z","2.770"
"2021-02-11T12:00:00Z","2.912"
"2021-02-12T12:00:00Z","2.878"
"2021-02-13T12:00:00Z","2.760"
"2021-02-14T12:00:00Z","2.794"
"2021-02-15T12:00:00Z","3.030"
"2021-02-16T12:00:00Z","2.922"
"2021-02-17T12:00:00Z","3.131"
"2021-02-18T12:00:00Z","2.919"
"2021-02-19T12:00:00Z","3.334"
"2021-02-20T12:00:00Z","3.072"
"2021-02-21T12:00:00Z","3.625"
"2021-02-22T12:00:00Z","3.232"
"2021-02-23T12:00:00Z","3.247"
"2021-02-24T12:00:00Z","3.702"
"2021-02-25T12:00:00Z","3.205"
"2021-02-26T12:00:00Z","3.255"
"2021-02-27T12:00:00Z","3.209"
"2021-02-28T12:00:00Z","3.463"
"2021-03-01T12:00:00Z","3.255"
"2021-03-02T12:00:00Z","3.660"
"2021-03-03T12:00:00Z","3.481"
"2021-03-04T12:00:00Z","3.728"
"2021-03-05T12:00:00Z","3.726"
"2021-03-06T12:00:00Z","3.442"
"2021-03-07T12:00:00Z","3.411"
"2021-03-08T12:00:00Z","3.538"
"2021-03-09T12:00:00Z","3.647"
"2021-03-10T12:00:00Z","3.753"
"2021-03-11T12:00:00Z","3.805"
"2021-03-12T12:00:00Z","3.710"
"2021-03-13T12:00:00Z","3.571"
"2021-03-14T12:00:00Z","3.617"
"2021-03-15T12:00:00Z","3.916"
"2021-03-16T12:00:00Z","3.646"
"2021-03-17T12:00:00Z","3.971"
"2021-03-18T12:00:00Z","4.001"
"2021-03-19T12:00:00Z","4.257"
"2021-03-20T12:00:00Z","3.774"
"2021-03-21T12:00:00Z","3.834"
"2021-03-22T12:00:00Z","3.357"
"2021-03-23T12:00:00Z","3.719"
"2021-03-24T12:00:00Z","3.735"
"2021-03-25T12:00:00Z","4.119"
"2021-03-26T12:00:00Z","4.463"
"2021-03-27T12:00:00Z","4.174"
"2021-03-28T12:00:00Z","4.294"
"2021-03-29T12:00:00Z","3.885"
"2021-03-30T12:00:00Z","3.780"
"2021-03-31T12:00:00Z","4.035"
"2021-04-01T12:00:00Z","3.955"
"2021-04-02T12:00:00Z","3.911"
"2021-04-03T12:00:00Z","4.196"
"2021-04-04T12:00:00Z","3.859"
"2021-04-05T12:00:00Z","4.376"
"2021-04-06T12:00:00Z","4.083"
"2021-04-07T12:00:00Z","4.184"
"2021-04-08T12:00:00Z","4.233"
"2021-04-09T12:00:00Z","4.103"
"2021-04-10T12:00:00Z","4.547"
"2021-04-11T12:00:00Z","3.840"
"2021-04-12T12:00:00Z","4.573"
"2021-04-13T12:00:00Z","4.175"
"2021-04-14T12:00:00Z","4.501"
"2021-04-15T12:00:00Z","4.330"
"2021-04-16T12:00:00Z","4.501"
"2021-04-17T12:00:00Z","4.267"
"2021-04-18T12:00:00Z","4.363"
"2021-04-19T12:00:00Z","4.585"
"2021-04-20T12:00:00Z","4.340"
"2021-04-21T12:00:00Z","4.655"
"2021-04-22T12:00:00Z","4.415"
"2021-04-23T12:00:00Z","4.149"
"2021-04-24T12:00:00Z","4.247"
"2021-04-25T12:00:00Z","4.562"
"2021-04-26T12:00:00Z","4.033"
"2021-04-27T12:00:00Z","4.543"
"2021-04-28T12:00:00Z","4.256"
"2021-04-29T12:00:00Z","4.026"
"2021-04-30T12:00:00Z","4.401"
"2021-05-01T12:00:00Z","4.175"
"2021-05-02T12:00:00Z","4.207"
"2021-05-03T12:00:00Z","4.193"
"2021-05-04T12:00:00Z","4.377"
"2021-05-05T12:00:00Z","4.249"
"2021-05-06T12:00:00Z","4.442"
"2021-05-07T12:00:00Z","4.594"
"2021-05-08T12:00:00Z","4.473"
"2021-05-09T12:00:00Z","4.785"
"2021-05-10T12:00:00Z","4.842"
"2021-05-11T12:00:00Z","4.252"
"2021-05-12T12:00:00Z","4.031"
"2021-05-13T12:00:00Z","4.241"
"2021-05-14T12:00:00Z","4.336"
"2021-05-15T12:00:00Z","4.856"
"2021-05-16T12:00:00Z","4.199"
"2021-05-17T12:00:00Z","4.354"
"2021-05-18T12:00:00Z","4.105"
"2021-05-19T12:00:00Z","4.180"
"2021-05-20T12:00:00Z","3.953"
"2021-05-21T12:00:00Z","3.881"
"2021-05-22T12:00:00Z","4.577"
"2021-05-23T12:00:00Z","4.492"
"2021-05-24T12:00:00Z","4.121"
"2021-05-25T12:00:00Z","4.467"
"2021-05-26T12:00:00Z","3.862"
"2021-05-27T12:00:00Z","4.133"
"2021-05-28T12:00:00Z","4.206"
"2021-05-29T12:00:00Z","4.465"
"2021-05-30T12:00:00Z","4.183"
"2021-05-31T12:00:00Z","4.255"
"2021-06-01T12:00:00Z","4.156"
"2021-06-02T12:00:00Z","4.324"
"2021-06-03T12:00:00Z","4.558"
"2021-06-04T12:00:00Z","3.821"
"2021-06-05T12:00:00Z","4.491"
"2021-06-06T12:00:00Z","4.137"
"2021-06-07T12:00:00Z","3.820"
"2021-06-08T12:00:00Z","4.086"
"2021-06-09T12:00:00Z","4.457"
"2021-06-10T12:00:00Z","3.994"
"2021-06-11T12:00:00Z","4.170"
"2021-06-12T12:00:00Z","3.672"
"2021-06-13T12:00:00Z","3.598"
"2021-06-14T12:00:00Z","3.764"
"2021-06-15T12:00:00Z","4.265"
"2021-06-16T12:00:00Z","3.977"
"2021-06-17T12:00:00Z","4.243"
"2021-06-18T12:00:00Z","4.235"
"2021-06-19T12:00:00Z","3.733"
"2021-06-20T12:00:00Z","4.291"
"2021-06-21T12:00:00Z","3.740"
"2021-06-22T12:00:00Z","4.102"
"2021-06-23T12:00:00Z","4.067"
"2021-06-24T12:00:00Z","3.819"
"2021-06-25T12:00:00Z","3.795"
"2021-06-26T12:00:00Z","3.833"
"2021-06-27T12:00:00Z","3.756"
"2021-06-28T12:00:00Z","3.604"
"2021-06-29T12:00:00Z","3.556"
"2021-06-30T12:00:00Z","3.553"
"2021-07-01T12:00:00Z","3.927"
"2021-07-02T12:00:00Z","3.198"
"2021-07-03T12:00:00Z","3.444"
"2021-07-04T12:00:00Z","3.459"
"2021-07-05T12:00:00Z","3.456"
"2021-07-06T12:00:00Z","3.559"
"2021-07-07T12:00:00Z","3.120"
"2021-07-08T12:00:00Z","3.685"
"2021-07-09T12:00:00Z","3.622"
"2021-07-10T12:00:00Z","3.540"
"2021-07-11T12:00:00Z","3.290"
"2021-07-12T12:00:00Z","3.128"
"2021-07-13T12:00:00Z","3.202"
"2021-07-14T12:00:00Z","3.269"
"2021-07-15T12:00:00Z","3.391"
"2021-07-16T12:00:00Z","3.174"
"2021-07-17T12:00:00Z","3.255"
"2021-07-18T12:00:00Z","3.026"
"2021-07-19T12:00:00Z","3.176"
"2021-07-20T12:00:00Z","3.012"
"2021-07-21T12:00:00Z","3.111"
"2021-07-22T12:00:00Z","2.571"
"2021-07-23T12:00:00Z","3.104"
"2021-07-24T12:00:00Z","3.087"
"2021-07-25T12:00:00Z","3.053"
"2021-07-26T12:00:00Z","2.643"
"2021-07-27T12:00:00Z","2.682"
"2021-07-28T12:00:00Z","2.611"
"2021-07-29T12:00:00Z","2.880"
"2021-07-30T12:00:00Z","2.931"
"2021-07-31T12:00:00Z","2.561"
"2021-08-01T12:00:00Z","3.033"
"2021-08-02T12:00:00Z","2.999"
"2021-08-03T12:00:00Z","2.677"
"2021-08-04T12:00:00Z","2.704"
"2021-08-05T12:00:00Z","2.161"
"2021-08-06T12:00:00Z","2.418"
"2021-08-07T12:00:00Z","2.206"
"2021-08-08T12:00:00Z","2.261"
"2021-08-09T12:00:00Z","2.586"
"2021-08-10T12:00:00Z","2.616"
"2021-08-11T12:00:00Z","2.596"
"2021-08-12T12:00:00Z","2.426"
"2021-08-13T12:00:00Z","2.467"
"2021-08-14T12:00:00Z","1.908"
"2021-08-15T12:00:00Z","1.953"
"2021-08-16T12:00:00Z","2.193"
"2021-08-17T12:00:00Z","2.365"
"2021-08-18T12:00:00Z","2.074"
"2021-08-19T12:00:00Z","1.816"
"2021-08-20T12:00:00Z","1.954"
"2021-08-21T12:00:00Z","1.865"
"2021-08-22T12:00:00Z","1.638"
"2021-08-23T12:00:00Z","2.596"
"2021-08-24T12:00:00Z","2.320"
"2021-08-25T12:00:00Z","1.489"
"2021-08-26T12:00:00Z","1.474"
"2021-08-27T12:00:00Z","1.726"
"2021-08-28T12:00:00Z","1.527"
"2021-08-29T12:00:00Z","2.468"
"2021-08-30T12:00:00Z","1.644"
"2021-08-31T12:00:00Z","1.908"
"2021-09-01T12:00:00Z","1.665"
"2021-09-02T12:00:00Z","1.473"
"2021-09-03T12:00:00Z","2.000"
"2021-09-04T12:00:00Z","1.876"
"2021-09-05T12:00:00Z","1.672"
"2021-09-06T12:00:00Z","2.257"
"2021-09-07T12:00:00Z","1.696"
"2021-09-08T12:00:00Z","1.498"
"2021-09-09T12:00:00Z","2.067"
"2021-09-10T12:00:00Z","1.665"
"2021-09-11T12:00:00Z","1.948"
"2021-09-12T12:00:00Z","1.508"
"2021-09-13T12:00:00Z","0.741"
"2021-09-14T12:00:00Z","1.082"
"2021-09-15T12:00:00Z","1.721"
"2021-09-16T12:00:00Z","1.281"
"2021-09-17T12:00:00Z","1.470"
"2021-09-18T12:00:00Z","1.669"
"2021-09-19T12:00:00Z","1.410"
"2021-09-20T12:00:00Z","1.130"
"2021-09-21T12:00:00Z","1.322"
"2021-09-22T12:00:00Z","1.333"
"2021-09-23T12:00:00Z","1.185"
"2021-09-24T12:00:00Z","0.922"
"2021-09-25T12:00:00Z","1.161"
"2021-09-26T12:00:00Z","1.209"
"2021-09-27T12:00:00Z","0.855"
"2021-09-28T12:00:00Z","0.969"
"2021-09-29T12:00:00Z","1.003"
"2021-09-30T12:00:00Z","0.701"
"2021-10-01T12:00:00Z","1.013"
"2021-10-02T12:00:00Z","1.025"
"2021-10-03T12:00:00Z","0.815"
"2021-10-04T12:00:00Z","0.595"
"2021-10-05T12:00:00Z","1.026"
"2021-10-06T12:00:00Z","1.047"
"2021-10-07T12:00:00Z","0.923"
"2021-10-08T12:00:00Z","0.897"
"2021-10-09T12:00:00Z","1.023"
"2021-10-10T12:00:00Z","0.840"
"2021-10-11T12:00:00Z","0.624"
"2021-10-12T12:00:00Z","0.825"
"2021-10-13T12:00:00Z","0.735"
"2021-10-14T12:00:00Z","0.807"
"2021-10-15T12:00:00Z","1.037"
"2021-10-16T12:00:00Z","0.507"
"2021-10-17T12:00:00Z","0.845"
"2021-10-18T12:00:00Z","0.480"
"2021-10-19T12:00:00Z","0.557"
"2021-10-20T12:00:00Z","1.174"
"2021-10-21T12:00:00Z","0.890"
"2021-10-22T12:00:00Z","0.811"
"2021-10-23T12:00:00Z","0.351"
"2021-10-24T12:00:00Z","0.703"
"2021-10-25T12:00:00Z","0.250"
"2021-10-26T12:00:00Z","0.765"
"2021-10-27T12:00:00Z","0.442"
"2021-10-28T12:00:00Z","0.891"
"2021-10-29T12:00:00Z","0.791"
"2021-10-30T12:00:00Z","0.446"
"2021-10-31T12:00:00Z","0.845"
"2021-11-01T12:00:00Z","1.274"
"2021-11-02T12:00:00Z","0.701"
"2021-11-03T12:00:00Z","0.973"
"2021-11-04T12:00:00Z","0.250"
"2021-11-05T12:00:00Z","0.874"
"2021-11-06T12:00:00Z","0.618"
"2021-11-07T12:00:00Z","0.697"
"2021-11-08T12:00:00Z","0.917"
"2021-11-09T12:00:00Z","0.712"
"2021-11-10T12:00:00Z","0.374"
"2021-11-11T12:00:00Z","1.165"
"2021-11-12T12:00:00Z","0.427"
"2021-11-13T12:00:00Z","0.587"
"2021-11-14T12:00:00Z","0.836"
"2021-11-15T12:00:00Z","0.846"
"2021-11-16T12:00:00Z","0.927"
"2021-11-17T12:00:00Z","0.862"
"2021-11-18T12:00:00Z","1.125"
"2021-11-19T12:00:00Z","0.971"
"2021-11-20T12:00:00Z","0.562"
"2021-11-21T12:00:00Z","0.250"
"2021-11-22T12:00:00Z","0.918"
"2021-11-23T12:00:00Z","1.259"
"2021-11-24T12:00:00Z","0.591"
"2021-11-25T12:00:00Z","0.655"
"2021-11-26T12:00:00Z","1.019"
"2021-11-27T12:00:00Z","1.065"
"2021-11-28T12:00:00Z","1.239"
"2021-11-29T12:00:00Z","1.384"
"2021-11-30T12:00:00Z","1.048"
"2021-12-01T12:00:00Z","0.773"
"2021-12-02T12:00:00Z","0.796"
"2021-12-03T12:00:00Z","0.901"
"2021-12-04T12:00:00Z","1.312"
"2021-12-05T12:00:00Z","0.946"
"2021-12-06T12:00:00Z","1.330"
"2021-12-07T12:00:00Z","0.726"
"2021-12-08T12:00:00Z","1.198"
"2021-12-09T12:00:00Z","0.958"
"2021-12-10T12:00:00Z","1.296"
"2021-12-11T12:00:00Z","1.121"
"2021-12-12T12:00:00Z","1.405"
"2021-12-13T12:00:00Z","1.118"
"2021-12-14T12:00:00Z","1.241"
"2021-12-15T12:00:00Z","1.471"
"2021-12-16T12:00:00Z","1.266"
"2021-12-17T12:00:00Z","1.328"
"2021-12-18T12:00:00Z","1.526"
"2021-12-19T12:00:00Z","1.340"
"2021-12-20T12:00:00Z","0.986"
"2021-12-21T12:00:00Z","1.263"
"2021-12-22T12:00:00Z","0.949"
"2021-12-23T12:00:00Z","1.392"
"2021-12-24T12:00:00Z","1.597"
"2021-12-25T12:00:00Z","1.536"
"2021-12-26T12:00:00Z","1.879"
"2021-12-27T12:00:00Z","1.876"
"2021-12-28T12:00:00Z","1.646"
"2021-12-29T12:00:00Z","1.010"
"2021-12-30T12:00:00Z","1.802"
"2021-12-31T12:00:00Z","1.468"
"2022-01-01T12:00:00Z","1.909"
"2022-01-02T12:00:00Z","1.794"
"2022-01-03T12:00:00Z","1.907"
"2022-01-04T12:00:00Z","1.896"
"2022-01-05T12:00:00Z","2.397"
"2022-01-06T12:00:00Z","1.958"
"2022-01-07T12:00:00Z","1.536"
"2022-01-08T12:00:00Z","2.152"
"2022-01-09T12:00:00Z","1.806"
"2022-01-10T12:00:00Z","2.279"
"2022-01-11T12:00:00Z","2.357"
"2022-01-12T12:00:00Z","2.157"
"2022-01-13T12:00:00Z","1.711"
"2022-01-14T12:00:00Z","1.945"
"2022-01-15T12:00:00Z","2.426"
"2022-01-16T12:00:00Z","2.620"
"2022-01-17T12:00:00Z","2.166"
"2022-01-18T12:00:00Z","2.112"
"2022-01-19T12:00:00Z","1.916"
"2022-01-20T12:00:00Z","1.950"
"2022-01-21T12:00:00Z","2.330"
"2022-01-22T12:00:00Z","2.478"
"2022-01-23T12:00:00Z","1.962"
"2022-01-24T12:00:00Z","2.572"
"2022-01-25T12:00:00Z","2.738"
"2022-01-26T12:00:00Z","2.584"
"2022-01-27T12:00:00Z","2.870"
"2022-01-28T12:00:00Z","2.577"
"2022-01-29T12:00:00Z","2.610"
"2022-01-30T12:00:00Z","2.637"
"2022-01-31T12:00:00Z","2.921"
"2022-02-01T12:00:00Z","2.746"
"2022-02-02T12:00:00Z","2.510"
"2022-02-03T12:00:00Z","2.780"
"2022-02-04T12:00:00Z","2.813"
"2022-02-05T12:00:00Z","2.682"
"2022-02-06T12:00:00Z","3.022"
"2022-02-07T12:00:00Z","2.820"
